Stock Symbol
RELIANCE
HDFCBANK
ICICIBANK
INFY
TCS
ITC
KOTAKBANK
LT
AXISBANK
HINDUNILVR
SBIN
ASIANPAINT
BAJFINANCE
MARUTI
SUNPHARMA
ULTRACEMCO
TITAN
WIPRO
HCLTECH
NTPC
POWERGRID
TECHM
ADANIENT
ADANIGREEN
ADANIPORTS
BRITANNIA
CIPLA
DIVISLAB
DRREDDY
EICHERMOT
HINDALCO
JSWSTEEL
TATASTEEL
COALINDIA
BPCL
IOC
ONGC
BAJAJ-AUTO
HEROMOTOCO
M&M
GRASIM
HAVELLS
PIDILITIND
DABUR
NESTLEIND
GODREJCP
BERGEPAINT
AMBUJACEM
SHREECEM
INDUSINDBK
AUROPHARMA
